Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Energy Consumption,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,Proportion of Energy from Renewables,R&D Expenditure,Renewable Energy Patents,Innovation Index,GDP,Population,Government Policies,Renewable Energy Targets,Public-Private Partnerships in Energy,Energy Market Liberalization,Ease of Doing Business,Regulatory Quality,Political Stability,Control of Corruption,CO2 Emissions,Average Annual Temperature,Solar Irradiance,Wind Speed,Hydro Potential,Biomass Availability
Canada,2008,Biomass,88197.41448,7851.918198,3560980048.0,318026.7783,930.8360163,0.6427012522,0.2612339242,408765064.4,38.68302456,75787430.16,284,61.92503737,174677740418257,179191600,0,1,1,0,83.38226403,9.473509589,0.7746758583,2.728374761,746763.7178,38.1187688,278.7735643,0.6379388571,40.09597227,92.61356167
USA,2004,Biomass,10680.47113,4394.82165,7350532949.0,1264.851083,436.1412169,0.4422517198,0.2037734028,442169118.9,9.883972867,9964279866.0,595,82.02203581,55738318357241,906341031,1,0,0,0,59.60084903,6.124974724,6.626081996,3.635303505,709197.4987,12.54695374,132.2487211,8.838074808,76.25417264,65.14859978
Germany,2004,Solar,84155.01483,23056.78539,6352056457.0,223148.6768,933.186562,0.4977969941,0.4116756241,378106992.3,9.065077968,7244286881.0,952,19.68000339,149068965006609,467975027,1,0,1,1,3.969755828,2.149094924,3.882186513,6.775445296,90810.91668,24.34317355,133.3847488,2.518981719,97.23904356,46.12005915
France,2007,Biomass,85058.08869,48864.03435,8328534797.0,925040.2264,127.1673173,0.08071679573,0.206234764,753533992.1,83.67395253,6327828537.0,508,39.49886362,133254962047718,475274775,1,0,1,0,27.59753866,4.300986254,2.923136173,4.657835289,827176.4357,38.35724911,251.1607255,14.26104822,77.02357763,11.22517923
Germany,2015,Solar,29167.69368,35187.0553,8801013401.0,752809.653,281.4853791,0.5812429394,0.4042475214,5221885.607,21.6556538,268453111.2,360,27.30341456,183342542437639,1374881359,1,0,1,0,48.58634482,8.75843681,5.632149825,1.941600743,77329.75566,25.06155721,201.9046538,8.627470758,42.76315606,77.18408792
China,2001,Solar,70143.22635,35866.71365,8989019857.0,578532.8975,893.9860152,0.9218799289,0.4748111865,295184690.5,42.38214665,4990493758.0,978,11.94121127,179813376285786,442235891,1,1,0,1,77.20585655,9.601203922,2.235044586,8.107166558,978804.5523,3.324535903,270.4146501,12.53137474,63.45408772,93.42789486
Brazil,2007,Solar,46602.61649,26284.74877,1348425994.0,424380.0462,705.8538122,0.6710186681,0.2008484876,307167119.6,72.37322337,2212962376.0,42,19.69879218,8923698277422,616299198,1,1,0,0,23.92728327,9.545268513,9.21045186,6.203707376,322712.1258,16.31196852,248.6345834,13.5275646,93.18167187,91.18398833
Brazil,2010,Solar,20829.13106,5541.267057,2515442676.0,140912.1307,7.97313093,0.8107173735,0.4674999122,724400881.5,35.59846692,8603083115.0,737,10.765877,45543043872048,500569280,1,1,0,1,86.54245055,0.4118472937,0.2642889566,2.93269453,998758.162,22.69475661,201.0395306,6.57122566,29.09928146,22.25300241
USA,2023,Geothermal,28315.30414,37366.90447,7868287984.0,219025.7227,519.0950471,0.4557779464,0.1217681822,369505078.8,15.81208132,5067586924.0,815,98.48350015,55523369340459,818824356,1,0,0,1,43.80902031,1.341141498,9.431339046,6.775415656,930163.8732,-5.930133845,100.173426,11.30295165,0.2074047161,38.52561994
UK,2007,Biomass,21195.11392447576,33509.08496030396,9807945680.676643,932992.4825203302,265.63535884345833,0.7961568548551692,0.4103746347817356,137490594.21821412,66.23068259508513,6614302236.014015,101,74.29247588581008,101318799695500,131669554,0,1,1,1,59.22349955836116,8.860720392111103,1.1627209912168035,7.030838156251969,661459.9217275039,13.776326096143013,269.19222196907623,1.4868095276514044,92.50650388338208,41.47664049985039
Japan,2022,Hydro,42019.73044,47672.61212,4717472781.0,857007.6446,853.2917207,0.1774626523,0.3864114036,894112157.3,77.43114297,2418087710.0,341,46.67028797,192998518143030,88083841,0,1,0,0,9.172803005,3.634175184,2.733835048,5.087999421,290969.0868,29.64566051,202.2898516,7.57496637,7.442143432,43.99201586
Canada,2001,Solar,11335.7814,12837.47869,5538384160.0,362225.7064,164.2926988,0.81776436,0.2500717059,449751868.7,36.58320345,7110248960.0,858,16.89265455,2335467502568,1204150827,0,1,0,1,38.35668047,3.420924147,6.24968847,5.478924311,411997.3369,38.27384331,153.0653837,6.323562529,61.64461606,7.944726037
Australia,2007,Hydro,59493.18058,13513.11749,232934346.0,726757.4732,724.1460676,0.3938457821,0.05915213553,125254412.3,10.37760741,1656870884.0,233,66.08091098,118198678537636,741405971,1,1,0,1,11.82811427,5.782344962,9.460758253,0.5059214354,705960.1257,-4.520045971,183.4209344,7.902323638,31.85623607,79.7265157
Germany,2018,Wind,9700.930717,39229.28209,532247902.1,58455.192,30.50452202,0.5768512656,0.425402713,700679588.7,74.48937218,6647347350.0,221,31.13156814,129231592057407,1445377306,0,1,1,1,91.07830276,2.132283677,6.864116489,9.936617707,687268.6984,34.18295631,216.9114545,4.368670784,3.07631761,94.57706918
Canada,2001,Biomass,33171.04552664742,648.9254461017044,3471871319.390861,212996.81348975797,428.9545620182424,0.8695214091384381,0.1912143678770013,539459096.4737266,7.482556753270053,8284087081.250392,87,92.17766633014482,91965838266413,472725941,0,1,0,0,40.39502240018066,7.344577605691622,7.922377870720355,8.47278915688619,122435.30139399358,13.1996068657721,162.2921045727933,14.873815276857822,80.02934744111022,0.1164675594752528
India,2005,Wind,91922.4398,6811.297208,8411421721.0,663094.8329,719.8944508,0.972059974,0.4469480319,723990078.9,81.77098519,9699482302.0,987,33.50275901,34464596061571,892894357,0,0,1,1,93.79860721,0.2517473218,3.779513008,6.217442741,65007.78026,20.69637722,247.9664977,2.249650536,49.68325002,31.1076021
France,2016,Wind,13992.86845,23572.64099,2620882006.0,131912.2665,179.5700608,0.07373435017,0.2934006911,627638921.7,22.32793334,4593301731.0,389,58.87518677,160698453978504,1200098320,0,0,0,0,65.45591329,1.645737001,2.582020383,2.035587019,495563.8158,26.52797248,121.3732989,14.55507566,22.39552283,96.31082631
Germany,2011,Wind,82209.71050867402,43995.427543701066,8935135481.318945,314239.1408283235,234.11544725404815,0.8725740739492175,0.338176676012344,163406281.8285796,28.72014136947959,7366239584.791172,214,84.19899388976394,26608664868942,708063467,1,0,1,0,98.79129006714172,9.212699394694582,3.2447207930433732,3.0293083676319887,614571.0850226122,1.700400672578814,218.47797472179485,2.245338914821896,50.379289803403374,99.89026396689876
France,2012,Solar,58374.80788,328.0859242,3919368982.0,946755.1752,947.6767132,0.4181527225,0.149642988,227194532.9,84.69427193,3688378913.0,295,72.68164863,87247767112057,1308569178,1,1,1,0,49.14676321,0.9094830842,2.704699491,0.3481279475,853831.7657,-3.550257336,102.0109329,6.079962056,20.75756474,93.97594085
India,2014,Solar,58531.58887,5827.722699,6201958391.0,184770.0925,550.4696413,0.9486093192,0.3028289791,460599933.2,71.50766783,2678076244.0,988,13.4925238,163153441299333,1465595104,0,1,0,1,73.24553675,6.856303858,2.257131006,7.257781691,658154.8242,-7.28706857,192.2113184,10.74227454,43.78978407,88.61828258
India,2001,Wind,24568.69703,2993.176964,6468475303.0,621121.5616,191.5886145,0.8917223638,0.3034666599,795450492.0,5.932437359,7119227244.0,328,58.96153815,64739141723756,372446243,0,0,0,1,75.20978538,2.967737559,7.820784179,2.273494625,199349.1545,31.38321697,254.3307134,4.555183063,71.33050368,88.20465022
Australia,2004,Biomass,22583.52351,4196.538273,4771648215.0,790022.2412,232.6029112,0.8360809053,0.3129364789,831716433.7,64.44649041,9141353494.0,507,53.09099136,97954361704600,847349536,0,1,1,0,44.70365341,4.310179949,7.02193575,0.6081083674,105539.3121,24.10660208,132.8069012,2.262604755,44.83290575,76.72167431
Canada,2004,Solar,7406.910181,46665.80326,3203470225.0,18823.40954,480.9814152,0.9293531887,0.4659030987,673109029.4,77.52874118,7268786669.0,917,92.12680712,21028305141899,1030408038,0,1,1,1,69.21391273,3.319596483,6.824320165,7.013332149,891348.9171,-9.55466109,293.043357,8.752839165,38.43164224,32.38938064
France,2019,Wind,12047.849382122067,37156.11251641932,8043509439.76876,339586.8086641162,654.2189849666624,0.8205894462506317,0.371463385510151,952786879.1236088,15.431203372008383,1371408602.6758888,303,16.58912407493037,96869054433405,101196663,1,1,0,1,53.4595453716446,3.3388963984947795,9.21882334436114,2.6014849240556215,760783.4904689494,3.712089594520077,175.17469266598115,9.58651751852208,21.870295040822253,58.83817590299415
France,2011,Geothermal,1852.788228,30015.85856,4128687307.0,90864.14692,715.4096913,0.3261185056,0.2430841015,330658160.9,0.3733153151,5277801266.0,903,90.67008588,100435448836396,1042479226,0,0,1,1,60.23183515,8.367070812,0.0999594966,6.77139438,397269.0333,17.77156407,215.9417467,7.083460187,22.16668349,30.53157305
Japan,2021,Hydro,60968.71820276139,44580.82557502545,7008888526.813933,774381.39848084,637.8433167051473,0.770926608683238,0.4933920376068425,569638132.389973,21.7842653515272,6803073444.024694,17,54.96322743032198,129005976681950,245263507,0,0,1,1,40.10363382833793,9.96876751132612,5.142535853017154,4.3883082540914495,117908.15082411052,-3.0767760711325662,274.625612891536,3.5942924077815137,80.92910584114325,7.371614053278996
India,2010,Geothermal,26062.07572,48032.10174,254296339.1,337616.8862,538.9466659,0.04487959075,0.4924628709,856374005.1,50.13039796,2991813734.0,635,28.74159779,123694547822131,115435313,1,1,0,1,44.9365706,6.530595403,7.218446922,5.951144875,175208.8927,17.78070696,133.9763869,5.367292184,11.50530721,81.89317754
India,2008,Geothermal,86255.39868879398,1284.5412162570076,9067859770.870102,813118.3700017516,37.83095990929221,0.4867289951751056,0.253609060674373,167551921.02395648,88.97974637962169,5053211981.245068,299,59.55840245116989,117481656150525,469446643,1,0,1,0,76.99650358202294,0.4104640717508756,7.9132086676268,7.836981835759861,626210.1984747831,21.87370338358088,179.59782993350643,10.67952799038319,4.89600085225943,29.70168141482673
USA,2002,Solar,73380.3081,30804.68528,7065652820.0,528914.7771,780.3007358,0.2816923313,0.1826570368,133841433.6,65.18305158,2473448152.0,930,93.33797682,147774641129884,737845046,0,0,0,1,81.46344833,4.121760693,6.840060139,8.802635802,550357.2964,20.26691089,203.4106382,11.63681879,48.70460535,28.94425606
Canada,2019,Geothermal,16255.67842,32918.6712,8276411419.0,977171.1858,920.219949,0.9054139381,0.251457909,59174264.77,55.2831864,201998320.2,223,40.88458933,123178417550575,802865134,1,0,1,1,36.44846041,6.11001518,2.075309126,0.04233830273,704923.8902,38.81464475,174.5394833,9.671607921,30.11861365,9.49652433
Brazil,2008,Hydro,9890.183026,352.9932442,3345029303.0,787877.0,827.511239,0.7513472074,0.08015666385,182074810.9,50.99041109,900270847.1,238,64.17941362,43209117526771,1034290718,1,0,1,0,21.84011167,4.385444985,5.332970698,5.547088702,323151.4016,9.363221109,179.7230901,9.820470243,26.77473935,63.44779287
Brazil,2006,Hydro,30432.67469,35180.42554,2721380252.0,430145.9248,920.0315782,0.8237186267,0.2680435411,987019527.4,65.9582884,2581494398.0,115,55.97316459,185851278322630,1422680909,0,1,1,0,9.217601447,0.7672244438,7.007331435,9.534718829,249423.3899,15.42755448,109.001502,8.789238152,30.60523981,83.34826524
Canada,2016,Hydro,97747.01326,1573.383011,3429908551.0,894672.0431,146.8684957,0.01138229215,0.06395710506,345294267.5,84.86198218,1571521127.0,59,53.43753647,169578081848871,1345546062,1,0,1,1,14.50932294,9.906054562,2.613798428,4.846161611,3616.759556,19.77167514,271.652151,0.5427611101,66.79629802,71.94317668
USA,2004,Wind,54159.84837,32795.51844,8593507998.0,934525.6616,571.2975641,0.6324460745,0.2656652201,331636116.0,57.01407215,6075702136.0,79,84.98801128,112652653031597,1016357696,0,0,1,1,86.28256088,7.026037609,6.649875104,7.290494566,466246.0642,1.850815636,249.9853456,13.69882367,83.40051444,5.270789773
China,2018,Hydro,45574.23933,25716.30036,4320554985.0,400636.0203,60.47408977,0.5894673303,0.08448913035,778023921.0,69.94509073,8788038123.0,891,9.123254327,70258008745085,523955793,1,0,1,0,84.42468419,0.3941325799,6.605573115,0.5532699181,359803.8434,23.09248979,151.9807736,11.21911776,36.08883374,63.38758372
Japan,2014,Wind,36100.27416,18856.81253,8423583285.0,690317.7986,27.33526329,0.6491674474,0.2522788226,957410108.0,63.16770652,1425041558.0,316,18.83546673,151678095174831,1451861119,1,1,1,1,74.22633051,0.9648185717,4.521714756,8.30050718,167863.5372,13.96542037,168.3561807,0.1468389619,66.05989548,52.53470469
USA,2010,Hydro,75283.25298,30253.58274,3183063502.0,283751.0026,263.2724255,0.6076331293,0.3796094898,355277259.6,85.21064123,2384274484.0,635,77.68901036,129408255162038,74059590,0,1,1,0,14.90394432,3.693861939,6.187023661,9.136824197,361382.6693,27.99016431,199.8537796,0.2596077615,96.52786792,30.62432236
Germany,2004,Hydro,1100.559119,49738.21263,8722454586.0,631905.6535,691.4627206,0.5696077786,0.3656802124,503534204.2,64.07146826,716351630.9,190,20.61566936,113137960289543,1078052921,1,0,0,1,50.6424974,4.669856936,7.206349676,3.042872174,685366.695,30.96666784,265.5393061,3.940388979,73.42357483,35.31444759
India,2021,Wind,96753.54151180266,36634.48437800713,9515623540.753122,415268.932119149,113.39682606707618,0.2907757138111785,0.1749077271474448,192060983.75767505,63.43583437165299,2235913113.9804664,378,29.209764412341233,186250923248428,962932242,1,1,0,0,66.7215340063325,4.3807230545118045,3.870003203279505,7.959967898195056,280818.7559614255,1.1331987616712258,228.39209943884535,13.487722018890071,36.93887999931948,87.896082938869
Russia,2014,Solar,8940.494557,37704.21242,3090052106.0,278121.5817,798.407663,0.9359271093,0.101568579,97901344.79,56.6172785,3475110304.0,321,38.69757764,169195406716585,993241107,1,1,0,0,32.25696409,2.118616068,4.266524894,8.313897922,250364.4048,-8.08435552,110.4203799,2.101215582,27.31093416,84.80695942
Russia,2021,Biomass,65570.88821,18841.21388,9373341207.0,933084.3844,953.7944592,0.6226748177,0.06291057145,632332093.1,56.84856369,3427897524.0,924,92.50358095,76403630455943,397955173,1,1,1,1,47.23686477,8.862327851,6.785629647,2.016735693,708720.8538,8.106566909,118.8521599,12.20611266,50.45982888,41.99809048
Canada,2012,Wind,35937.79914,34375.42131,7485606663.0,228784.2531,261.9794022,0.06996596128,0.344081757,6346484.902,59.808523,3725215441.0,883,54.83713408,81924341557411,468789681,0,1,0,1,37.9308174,7.462399471,1.020524517,1.089631046,639815.6164,14.25895706,170.0072763,12.06146668,96.86018014,25.89608228
Canada,2007,Solar,28571.582,49317.50718,2839124252.0,16551.09899,648.0724861,0.697290617,0.05712889749,9348930.273,31.66247189,1224539.03,925,33.60148008,124869563215075,837504424,1,0,1,0,53.3640085,2.384988543,3.666534543,4.082024693,525974.0297,3.930443968,229.0267742,11.22963118,90.06847375,25.17274727
USA,2011,Hydro,37899.03025,16752.80497,5705983366.0,336263.371,430.3720662,0.1112766079,0.3530705197,648527683.1,83.10679316,8690606064.0,596,80.48285874,27864014225264,550240725,1,0,0,1,27.21708858,3.143966166,8.283257285,8.988163346,972965.4647,-8.753313912,121.5820018,0.000751775151,10.09448959,36.10448959
Brazil,2012,Hydro,69227.30883,20616.88155,834828340.6,231517.5891,661.1975984,0.2271654967,0.4848477455,623853202.6,85.20830044,9658003967.0,981,5.700000486,116908576339095,802980989,1,0,1,0,45.86175448,9.646673982,0.6916882736,0.8781836444,682154.507,27.16525311,279.4532032,10.0733279,35.96351813,92.17709851
Canada,2019,Solar,52126.84453,40081.42364,7135948284.0,739544.4898,187.8228987,0.2024789623,0.0709112599,244633199.2,79.28254124,3563414450.0,554,29.4285923,120454034239649,1093869875,0,1,0,1,14.77160684,6.458424651,0.2478626417,6.028392528,749893.3439,10.87675626,211.6169475,13.90447993,90.62533834,8.877278968
Australia,2022,Biomass,85432.0418912813,1326.084492926239,6385208346.151816,236032.4518574607,143.61265310379886,0.2843284958618702,0.4399403265492089,540593320.9814234,72.2286654335632,5520966711.877772,890,47.761659612135745,61576445950971,115473182,0,0,0,1,35.74952761202391,9.52079582813136,4.61217250259708,3.7123823655865062,973622.2325434652,15.936515046352632,132.41017180858407,14.13303775373294,56.70749291185795,23.625605920678716
Canada,2022,Biomass,69302.84816061582,44639.48888728122,7593619490.591229,430356.6122599316,924.2376194500808,0.045026191874591,0.2635152356970111,24440807.932189222,52.568841357648935,8679841952.02578,377,56.87024020354878,69459711199424,91664880,1,1,1,0,92.42636132357906,1.977009031485054,9.75086977233498,9.730908578954242,688392.9193270612,21.550303631646937,283.2879604412459,11.240680635863022,57.35301432616242,54.43256686301534
Russia,2013,Hydro,43390.65943,6136.523566,8804003874.0,13978.86769,17.43736757,0.2608579022,0.238526823,343370056.4,23.49654219,6483108425.0,344,52.42751872,181479292286052,1200439585,1,0,1,0,22.40998905,8.588319743,5.309146546,7.461208069,577054.2485,14.65070851,163.3741346,9.733445612,32.17260387,57.95900569
Germany,2003,Solar,81326.27604,23764.18834,4071323707.0,790301.0111,567.9967362,0.4398124875,0.05247331859,912797388.1,14.97670726,7058845891.0,425,38.08712589,172733866701893,204048611,1,1,1,0,15.34953791,7.810682513,7.374375645,6.126266855,847936.4076,-3.711484635,163.0269255,12.7149127,82.9323836,93.58957972
